Index,Depth,Magnitude,MaxIntensity
1392,13,2.6,1
1394,12,2.6,1
1395,138,3.7,1
1396,8,2.9,1
1397,6,2.9,1
1398,11,2.8,1
1399,7,2.5,1
1400,38,4.6,1
1402,3,2.0,1
1404,41,3.2,1
1406,6,2.3,1
1407,11,2.1,1
1410,13,2.3,1
1411,12,3.2,1
1412,11,2.7,1
1417,58,3.6,1
1422,14,3.2,1
1424,6,1.7,1
1428,9,2.3,1
1431,52,3.4,1
1432,14,2.9,1
1433,33,3.3,1
1435,10,3.0,1
1437,120,3.8,1
1438,5,1.8,1
1439,7,1.8,1
1441,11,2.4,1
1442,5,1.8,1
1443,13,2.8,1
1444,11,2.5,1
1445,9,3.5,1
1446,12,2.5,1
1448,12,3.0,1
1450,12,2.8,1
1451,12,2.5,1
1454,14,3.1,1
1455,13,2.6,1
1456,12,3.0,1
1458,12,3.0,1
1459,7,1.8,1
1460,10,3.3,1
1463,13,2.9,1
1464,13,2.6,1
1471,11,2.7,1
1477,13,3.4,1
1484,10,2.6,1
1486,13,2.6,1
1488,11,2.6,1
1489,12,2.2,1
1492,11,2.5,1
1493,8,3.8,1
1494,11,2.8,1
1495,13,3.1,1
1497,12,2.9,1
1498,13,2.8,1
1499,12,2.6,1
1500,10,2.8,1
1502,13,2.4,1
1503,12,3.0,1
1504,12,2.6,1
1506,11,3.0,1
1507,13,2.2,1
1510,13,2.9,1
1512,12,3.0,1
1516,14,2.9,1
1517,12,3.0,1
1519,14,3.9,1
1520,11,3.0,1
1521,14,3.4,1
1524,8,3.2,1
1525,9,2.4,1
1526,20,3.7,1
1527,3,2.2,1
1528,9,2.3,1
1530,15,2.5,1
1531,8,2.3,1
1532,19,3.1,1
1533,76,3.1,1
1535,63,3.8,1
1536,12,2.6,1
1539,11,2.6,1
1540,18,2.5,1
1541,31,5.0,1
1542,13,2.4,1
1543,54,3.8,1
1544,35,4.3,1
1546,29,5.5,1
1547,31,4.8,1
1554,10,2.5,1
1555,34,3.8,1
1559,11,2.9,1
1560,16,4.7,1
1562,38,3.0,1
1564,64,4.1,1
1565,5,2.4,1
1570,60,3.6,1
1571,29,3.1,1
1573,68,3.9,1
1578,19,2.7,1
1579,8,2.5,1
1580,8,2.8,1
1583,41,3.6,1
1584,51,3.5,1
1585,58,3.8,1
1586,3,1.6,1
1588,10,2.7,1
1593,107,4.4,1
1594,34,3.7,1
1595,61,3.4,1
1598,4,1.8,1
1599,10,2.5,1
1602,10,2.9,1
1603,12,3.1,1
1604,11,2.1,1
1605,46,3.2,1
1606,9,2.4,1
1607,51,3.4,1
1608,13,2.2,1
1612,37,3.4,1
1613,4,2.4,1
1614,39,3.4,1
1617,11,3.0,1
1619,38,3.7,1
1620,54,3.7,1
1623,13,2.9,1
1624,39,3.3,1
1626,131,3.3,1
1627,97,3.6,1
1628,92,3.7,1
1632,26,2.8,1
1633,71,3.0,1
1635,8,2.6,1
1640,23,2.3,1
1641,13,3.2,1
1642,14,2.6,1
1643,53,3.3,1
1644,81,3.1,1
1645,3,2.0,1
1648,10,2.2,1
1649,6,2.3,1
1651,55,3.8,1
1652,13,3.0,1
1655,88,3.6,1
1656,8,2.5,1
1658,82,4.0,1
1660,74,4.4,1
1661,13,3.3,1
1662,11,2.2,1
1663,72,4.6,1
1666,84,3.6,1
1669,32,3.2,1
1676,5,2.0,1
1677,96,3.3,1
1678,8,2.5,1
1680,9,2.7,1
1683,14,2.7,1
1684,61,4.0,1
1687,12,3.0,1
1688,29,4.4,1
1690,6,2.8,1
1692,13,2.4,1
1693,3,2.2,1
